Attempting to load remote file: http://devingaffney.com/files/wiki_data/bar/bar_data.txt
Loading: [.........]

GRAPH
Total articles: 1654
Degree histogram:
1 6
2 329
3 215
4 127
5 119
6 100
7 77
8 78
9 58
10 42
11 27
12 39
13 37
14 22
15 26
16 25
17 17
18 13
19 21
20 17
21 11
22 6
23 11
24 8
25 5
26 20
27 10
28 8
29 6
30 12
31 3
32 5
33 6
34 5
35 9
36 5
37 11
38 5
39 7
40 5
41 4
42 8
43 6
44 1
45 2
46 2
47 1
48 1
49 4
50 6
51 3
52 2
53 3
54 5
55 2
56 1
57 1
58 2
59 2
60 1
62 5
63 3
64 4
65 1
66 1
67 1
68 4
69 2
70 2
74 1
75 3
78 1
80 1
82 1
84 1
86 1
93 1
94 1
99 1
102 1
103 1
104 1
108 1
113 1
115 1
162 2
291 1

GRAPH : LARGEST CONNECTED COMPONENT
Total articles in largest connected component: 1648
Diameter of largest connected component: 8
Average path length: 3.48607240904
Clustering Average: 0.227897465319
Degree Total: 11.0471584039
Number of Cliques 28

DIGRAPH
Degree histogram:
1 6
2 325
3 191
4 121
5 100
6 118
7 65
8 70
9 59
10 57
11 32
12 31
13 38
14 26
15 25
16 26
17 16
18 21
19 14
20 19
21 12
22 11
23 13
24 11
25 7
26 12
27 9
28 3
29 11
30 6
31 3
32 9
33 8
34 10
35 8
36 7
37 6
38 6
39 5
40 7
41 8
42 3
43 4
44 6
45 3
46 2
48 1
49 3
51 1
52 3
53 4
54 4
55 2
56 6
57 1
58 2
59 3
60 1
61 1
64 4
65 2
66 2
68 3
69 1
70 3
71 1
72 1
73 2
74 1
75 4
76 2
77 2
78 1
79 4
80 1
81 1
84 4
85 1
86 1
87 2
89 1
90 4
92 1
93 3
94 1
96 2
99 2
100 1
102 1
103 2
106 1
107 1
108 1
109 1
115 1
120 1
135 2
162 1
204 1
291 1

DIGRAPH : LARGEST CONNECTED COMPONENT
Total articles in largest connected component: 1648
Average path length: 3.48607240904
Clustering Average: 0.0854207248818
Degree Total: 6.42019347037
