Attempting to load remote file: http://devingaffney.com/files/wiki_data/ia/ia_data.txt
Loading: [...........................]

GRAPH
Total articles: 3497
Degree histogram:
1 1
2 258
3 168
4 469
5 204
6 151
7 157
8 116
9 164
10 219
11 206
12 124
13 88
14 54
15 65
16 56
17 53
18 172
19 104
20 73
21 58
22 44
23 39
24 34
25 22
26 23
27 19
28 16
29 14
30 12
31 6
32 8
33 11
34 10
35 9
36 13
37 12
38 12
39 11
40 8
41 11
42 7
43 10
44 14
45 9
46 11
47 7
48 3
49 5
50 3
51 1
52 5
53 4
54 2
55 5
56 3
57 2
58 2
59 5
60 3
61 2
63 2
64 4
65 1
66 2
67 2
68 3
69 2
70 2
72 1
73 3
74 5
75 4
76 4
77 3
78 2
79 1
80 1
82 1
83 1
84 2
87 1
88 3
90 1
92 3
93 1
95 1
98 2
101 1
103 1
106 1
114 1
115 1
118 1
119 1
121 1
127 2
138 1
144 1
145 1
147 1
149 1
159 1
160 1
170 1
177 1
212 1
220 1
243 1
258 1
284 1
379 1
381 1
382 4
383 4
384 3
627 1
636 1
685 1
726 1
1224 1

GRAPH : LARGEST CONNECTED COMPONENT
Total articles in largest connected component: 3496
Diameter of largest connected component: 8
Average path length: 3.16691452539
Clustering Average: 0.37187407382
Degree Total: 15.6894480984
Number of Cliques 30

DIGRAPH
Degree histogram:
1 1
2 238
3 150
4 219
5 275
6 136
7 273
8 133
9 111
10 82
11 82
12 70
13 64
14 59
15 111
16 168
17 159
18 97
19 60
20 42
21 42
22 39
23 41
24 137
25 94
26 42
27 38
28 23
29 45
30 44
31 27
32 16
33 13
34 21
35 18
36 10
37 9
38 10
39 9
40 10
41 9
42 7
43 10
44 11
45 18
46 15
47 6
48 6
49 9
50 3
51 5
52 7
53 6
54 7
55 7
56 4
57 2
58 4
59 5
60 2
61 2
62 3
63 1
64 2
65 2
66 7
67 3
68 4
69 1
70 1
72 4
73 1
74 5
75 1
76 7
80 5
82 1
83 5
84 3
85 3
86 4
87 1
88 1
89 3
90 1
93 2
94 2
95 1
97 2
98 1
99 3
100 2
103 1
105 1
106 1
110 1
111 1
114 1
116 2
117 1
120 1
125 1
126 2
127 1
129 2
136 1
139 1
142 1
144 1
145 1
156 1
157 1
161 1
165 1
176 1
195 1
208 1
225 1
265 1
268 1
295 1
305 1
413 1
423 1
424 1
425 6
426 2
427 1
428 1
627 1
636 1
689 1
745 1
756 1
1225 1

DIGRAPH : LARGEST CONNECTED COMPONENT
Total articles in largest connected component: 3496
Average path length: 3.16691452539
Clustering Average: 0.288442065748
Degree Total: 9.57763797541
