Attempting to load remote file: http://devingaffney.com/files/wiki_data/nrm/nrm_data.txt
Loading: [.........................................]

GRAPH
Total articles: 3022
Degree histogram:
1 1
2 247
3 122
4 161
5 74
6 79
7 75
8 59
9 45
10 48
11 50
12 25
13 31
14 35
15 27
16 26
17 21
18 26
19 16
20 20
21 47
22 146
23 163
24 207
25 177
26 121
27 67
28 43
29 41
30 19
31 27
32 21
33 22
34 26
35 38
36 14
37 24
38 17
39 17
40 26
41 66
42 107
43 74
44 48
45 30
46 15
47 11
48 7
49 11
50 3
51 5
52 6
53 5
54 4
55 2
56 2
57 4
58 83
59 18
60 6
61 2
62 3
64 3
65 2
69 1
70 1
71 1
72 1
74 2
76 1
81 2
83 1
88 1
93 1
95 1
100 1
111 1
114 1
126 2
129 1
144 1
173 1
179 1
183 1
200 1
227 1
228 1
230 1
256 1
285 1
297 1
338 1
340 1
342 1
347 2
349 1
352 1
355 1
363 1
371 1
377 1
378 5
386 1
391 1
398 1
576 1
808 1
810 1
880 1
1180 1

GRAPH : LARGEST CONNECTED COMPONENT
Total articles in largest connected component: 3021
Diameter of largest connected component: 9
Average path length: 3.08265204366
Clustering Average: 0.441677938488
Degree Total: 25.9847782925
Number of Cliques 35

DIGRAPH
Degree histogram:
1 1
2 240
3 107
4 94
5 127
6 72
7 65
8 63
9 50
10 45
11 45
12 37
13 37
14 25
15 25
16 30
17 19
18 21
19 23
20 16
21 15
22 14
23 11
24 15
25 11
26 16
27 8
28 2
29 8
30 6
31 5
32 11
33 32
34 139
35 162
36 195
37 177
38 113
39 59
40 47
41 42
42 18
43 23
44 18
45 22
46 20
47 25
48 14
49 29
50 13
51 14
52 8
53 11
54 7
55 8
56 5
57 2
58 2
59 2
60 2
61 1
62 1
64 2
65 2
67 10
68 5
69 14
70 18
71 54
72 65
73 142
74 62
75 36
76 25
77 13
78 7
79 12
80 8
81 4
82 3
83 4
84 3
85 4
86 3
87 2
89 2
94 1
95 1
96 1
104 1
109 1
113 1
115 1
117 1
123 1
129 1
132 1
137 1
152 1
175 1
186 1
201 1
228 1
230 1
232 1
236 1
306 1
369 1
371 1
377 1
378 5
386 1
398 1
424 1
431 1
451 1
453 1
455 1
460 2
462 1
465 1
468 1
476 1
584 1
809 1
811 1
887 1
1184 1

DIGRAPH : LARGEST CONNECTED COMPONENT
Total articles in largest connected component: 3021
Average path length: 3.08265204366
Clustering Average: 0.335405935158
Degree Total: 17.943414957
