Attempting to load remote file: http://devingaffney.com/files/wiki_data/qu/qu_data.txt
Loading: [..................................................]

GRAPH
Total articles: 7911
Degree histogram:
1 23
2 1076
3 532
4 263
5 219
6 288
7 237
8 251
9 207
10 179
11 158
12 166
13 143
14 127
15 127
16 100
17 132
18 185
19 289
20 283
21 269
22 445
23 525
24 342
25 178
26 117
27 94
28 69
29 66
30 52
31 61
32 59
33 57
34 41
35 42
36 37
37 32
38 20
39 23
40 18
41 18
42 16
43 6
44 11
45 18
46 18
47 15
48 12
49 15
50 6
51 8
52 11
53 8
54 6
55 6
56 4
57 6
58 6
59 5
60 1
61 3
62 5
63 4
64 3
65 2
66 2
67 3
68 4
69 1
70 2
71 2
72 8
73 2
75 4
76 1
77 3
79 1
80 4
81 1
82 1
85 1
88 2
89 3
90 1
91 1
92 1
95 2
99 2
100 3
102 2
104 1
105 1
106 2
107 1
108 2
109 3
111 1
117 1
118 1
120 1
121 2
122 1
123 1
125 1
126 1
127 1
129 1
130 1
135 2
136 4
141 1
142 1
145 1
152 1
155 2
157 2
164 1
165 1
172 2
174 1
176 1
177 1
179 1
180 1
181 1
182 1
183 1
186 1
188 1
192 1
196 1
197 2
199 1
202 2
203 1
205 2
208 1
213 2
219 2
220 1
221 1
225 1
226 1
238 1
239 1
258 1
266 1
285 1
304 1
313 1
329 1
336 1
339 1
365 1
392 1
398 1
403 1
407 1
533 1
555 1
559 1
689 1
1181 1
1216 1
2010 1
2017 1
2044 1
2122 1
2126 1
2135 2
2211 1
2401 1
2467 1
2554 1
2556 1
2788 1
3007 1
3062 1
3092 1
3127 1
4834 1

GRAPH : LARGEST CONNECTED COMPONENT
Total articles in largest connected component: 7803
Diameter of largest connected component: 7
Average path length: 2.66390084591
Clustering Average: 0.317835926343
Degree Total: 22.9654910884
Number of Cliques 27

DIGRAPH
Degree histogram:
1 23
2 1070
3 465
4 243
5 202
6 185
7 225
8 239
9 191
10 197
11 173
12 149
13 157
14 112
15 135
16 114
17 98
18 131
19 170
20 192
21 292
22 252
23 527
24 467
25 374
26 193
27 131
28 89
29 64
30 73
31 57
32 49
33 59
34 42
35 52
36 47
37 43
38 25
39 33
40 42
41 32
42 23
43 23
44 21
45 20
46 11
47 18
48 16
49 18
50 8
51 10
52 9
53 13
54 11
55 11
56 8
57 7
58 7
59 4
60 8
61 3
62 9
63 11
64 7
65 7
66 6
67 7
68 2
69 1
70 4
71 2
72 2
73 6
74 4
75 4
76 2
77 3
78 2
79 4
80 2
81 5
83 4
84 4
85 1
86 1
87 1
89 1
90 1
91 1
92 2
93 2
98 2
99 1
100 1
101 2
102 2
103 3
104 1
105 2
106 2
107 2
108 2
109 2
111 2
114 1
116 2
120 1
121 1
122 2
127 1
129 2
130 1
131 1
132 2
133 1
134 2
136 4
138 1
142 1
143 1
144 2
148 1
149 1
150 1
151 1
153 1
155 1
156 1
157 2
158 1
161 1
170 1
171 1
176 1
177 1
181 1
183 1
186 2
187 2
190 2
191 1
197 1
200 1
201 3
202 1
203 1
205 1
206 3
209 2
211 1
218 1
220 1
223 1
224 1
227 1
229 1
232 1
239 1
249 1
250 1
257 1
261 1
268 1
277 1
286 1
291 1
292 1
302 1
308 1
330 1
339 1
366 1
393 1
401 1
406 1
411 1
419 1
456 1
560 1
614 1
715 1
788 1
1219 1
1220 1
2025 1
2028 1
2045 1
2122 1
2127 1
2136 1
2157 1
2211 1
2468 1
2554 1
2556 1
2641 1
2788 1
3014 1
3067 1
3122 1
3128 1
4838 1

DIGRAPH : LARGEST CONNECTED COMPONENT
Total articles in largest connected component: 7803
Average path length: 2.66390084591
Clustering Average: 0.161843650162
Degree Total: 12.5144735179
