Attempting to load remote file: http://devingaffney.com/files/wiki_data/vls/vls_data.txt
Loading: [............................]

GRAPH
Total articles: 2998
Degree histogram:
1 5
2 287
3 252
4 208
5 180
6 168
7 122
8 140
9 112
10 99
11 91
12 74
13 72
14 64
15 63
16 52
17 55
18 50
19 43
20 30
21 41
22 32
23 33
24 39
25 35
26 28
27 31
28 23
29 20
30 24
31 20
32 37
33 54
34 34
35 34
36 33
37 29
38 38
39 18
40 20
41 18
42 6
43 5
44 8
45 2
46 4
47 4
48 1
49 2
50 1
51 4
53 3
55 3
56 2
57 3
58 6
59 2
61 2
62 5
63 6
64 2
65 2
66 1
67 2
68 1
69 2
70 1
71 1
73 2
78 2
79 1
82 2
84 1
85 1
86 1
88 1
89 2
90 1
91 2
92 3
93 4
94 7
95 1
96 1
97 7
98 3
99 3
100 6
101 2
102 2
103 1
105 2
108 4
109 2
111 1
114 1
115 1
117 3
119 1
120 1
124 5
125 2
127 1
132 1
140 1
141 1
143 1
159 1
169 1
171 1
172 1
173 1
177 1
180 1
199 1
201 1
209 1
229 1
230 1
237 1
239 1
246 1
250 3
251 1
252 1
253 1
255 1
383 1
384 1
537 1

GRAPH : LARGEST CONNECTED COMPONENT
Total articles in largest connected component: 2990
Diameter of largest connected component: 10
Average path length: 3.34142213174
Clustering Average: 0.301060247759
Degree Total: 17.4456304203
Number of Cliques 59

DIGRAPH
Degree histogram:
1 5
2 248
3 184
4 145
5 184
6 148
7 127
8 112
9 94
10 106
11 88
12 91
13 82
14 65
15 79
16 61
17 63
18 53
19 66
20 49
21 38
22 31
23 35
24 40
25 33
26 35
27 31
28 26
29 33
30 21
31 19
32 16
33 11
34 12
35 9
36 12
37 8
38 3
39 7
40 6
41 7
42 7
43 7
44 4
45 7
46 2
47 5
48 7
49 1
50 5
51 3
52 2
53 7
54 8
55 11
56 7
57 10
58 17
59 28
60 16
61 22
62 27
63 15
64 11
65 20
66 13
67 11
68 12
69 22
70 11
71 19
72 6
73 12
74 6
75 10
76 8
79 1
80 2
81 3
83 4
84 1
85 2
86 1
87 1
88 3
89 2
90 1
92 2
93 1
94 3
95 2
96 1
97 1
98 1
99 3
100 2
101 1
102 2
106 2
114 1
116 1
118 1
119 1
120 2
128 1
129 1
131 2
132 1
134 3
135 3
140 1
141 1
142 1
146 3
147 2
150 2
151 3
152 1
154 1
155 1
157 2
158 2
159 2
160 4
161 1
162 1
164 3
165 2
168 2
169 2
170 1
171 1
172 2
173 1
177 1
179 1
181 1
184 2
186 2
188 1
189 1
190 1
195 1
200 1
203 1
210 1
213 1
229 1
230 1
242 1
250 3
251 1
252 1
253 1
255 1
259 1
260 1
266 1
274 1
290 1
300 1
348 1
393 1
501 1
553 1

DIGRAPH : LARGEST CONNECTED COMPONENT
Total articles in largest connected component: 2990
Average path length: 3.34142213174
Clustering Average: 0.248239685171
Degree Total: 11.898599066
